"","ID","txt","textChecked"
"200","R_0TAfBP26lnUEMAJ","freedom choice america people voices liberty       ","freedom choice america peoplee voices liberty"
"201","R_3mI6EwiGtKuKixf","freedom justice liberty create challenge demo demonstrate council city dark wide     ","freedom justice liberty create challenge demo demonstrate council city dark wide"
"202","R_4YKOTsm8cdEQCih","equality  voice everyone voting lack censorship government  people freedom politicians vote  people want various political parties      ","equality voice everyone voting lack censorship governmenternment peoplee freedom politicians vote peoplee want various political parties"
"203","R_3VpceaPKzxLgOmp","usa vote people fair modern        ","usa vote peoplee fair modern"
"204","R_799LhHBL72kAKLb","people government power elections representatives freedom       ","peoplee governmenternment power elections representatives freedom"
"205","R_5je7kA5CGDZfWi9","freedom choice voting everyone capitalism        ","freedom choice voting everyone capitalism"
"206","R_agdiryJNtpxzsOx","ruined untrue novel pride safe        ","ruined untrue novel pride safe"
"207","R_bmGRkeUeJjVKdW5","equality fair just order balancing opportunity checks structure      ","equality fair just order balancing opportunity checks structure"
"208","R_9n80eoriVWCYjPv","freedom liberty freedom religion constitution free elections equal representation legal justice       ","freedom liberty freedom religion constitution free elections equal representation legal justice"
"209","R_ePURGh5UujgeWUt","freedom voting elections change liberty politics parties funding rights laws constitution government president congress senate house representatives veto bill amendments people","freedom voting elections change liberty politics parties funding rights laws constitution governmenternment president congress senate house representatives veto bill amendments peoplee"
"210","R_81dHAiCA6DaRp5j","fair just economic freedom right vote pick leaders free country checks balances       ","fair just economic freedom right vote pick leaders free country checks balances"
"211","R_3Xkf8TjiDz5xIc5","freedom freewill president elections vote democrat        ","freedom freewill president elections vote democrat"
"212","R_eKhTrF1kShE0cxT","freedom meritocracy elected rule  people elected representatives checks balances       ","freedom meritocracy elected rule peoplee elected representatives checks balances"
"213","R_88hQl1ubBPgz2sJ","freedom choice liberty liberal opportunity voting politicians debt progress revolution growth     ","freedom choice liberty liberal opportunity voting politicians debt progress revolution growth"
"214","R_8r0sVamPpZkbiwR","freedom justice rights politicians coroptions        ","freedom justice rights politicians corruptions"
"215","R_7OPvAwcjL1vIbL7","freedom usa election rights consitiution        ","freedom usa election rights constitution"
"216","R_eGaonQH3QeBtjAp","freedom responsibility social goodness group conscience representative government common good bill rights voting human rights parliamentary process amendments laws supreme court constitution house representatives sentate courts president cabinet secretary state, etc","freedom responsibility social goodness group conscience representative governmenternment common good bill rights voting human rights parliamentary process amendments laws supreme court constitution house representatives senate courts president cabinet secretary state, etc"
"217","R_6xpIM60h3KT5tJz","democrat republic america usa canada unity       ","democrat republic america usa canada unity"
"218","R_2c4dH0tm2KcEnUp","voting representative people rights choice freedom       ","voting representative peoplee rights choice freedom"
"219","R_4IrriDvKCfzaM4d","america works president congress obama bush       ","america works president congress obama bush"
"220","R_aeMVKH34fwxKafr","freedom work togetherness warmth family friends power government success help equality     ","freedom work togetherness warmth family friends power governmenternment success help equality"
"221","R_6rmQFo2WJVCktkp","america united states votes public justice fair freedom       ","america united states votes public justice fair freedom"
"222","R_5uo04MZgUVUaVX7","freedom liberalism corruptioin fiscal bankrupt republican democrat constitution congress president election     ","freedom liberalism corruption fiscal bankrupt republican democrat constitution congress president election"
"223","R_4TPxpNmJKIbDeBv","voting republicans democrats mob rule politics government america       ","voting republicans democrats mob rule politics governmenternment america"
"224","R_enYQE5zw8ygsu7X"," obama freedom free speech rights people equality furnace care giving individuality constitution us consequences results resolve efficient restoration balance pride ownership","obama freedom free speech rights peoplee equality furnace care giving individuality constitution us consequences results resolve efficient restoration balance pride ownership"
"225","R_eDLNrjrbpHshUEt","voting peoples choice usa majority rules republic voice       ","voting peoplees choice usa majority rules republic voice"
"226","R_e2MFYONSPoMNAah","republic representatives citizen voting freedom united states able influence government       ","republic representatives citizen voting freedom united states able influence governmenternment"
"227","R_9Ywg4TZUO7OcmLH","government freedom rights president politicians america voting       ","governmenternment freedom rights president politicians america voting"
"228","R_2gZuppQsVI5u7NH","freedom rule  people fairness america chance  founding fathers       ","freedom rule peoplee fairness america chance founding fathers"
"229","R_cw2V8yeEmRytUlT","one man, one vote corrupted democracy flaws america ancient greece representation voting free elections 20th century communist goverrnments democracy  title      ","one man, one vote corrupted democracy flaws america ancient greece representation voting free elections 20th century communist governmenterrnments democracy title"
"230","R_0qfFNIlicQnjG9n","freedom rights america equality choice majority voting opinion voice      ","freedom rights america equality choice majority voting opinion voice"
"231","R_b9nufqaJTMde2eV","freedom liberty free speech freedom religion representation government  people tyranny safety security      ","freedom liberty free speech freedom religion representation governmenternment peoplee tyranny safety security"
"232","R_cN1izMqjpWVrkMt","freedom speech equal say decision making america voting        ","freedom speech equal say decision making america voting"
"233","R_6lhumFIBXos1KiV","freedom america president congress vote lobbyists bribe pay court      ","freedom america president congress vote lobbyists bribe pay court"
"266","R_1NwCACsR2rZu55C","elections rights accountability responsiveness rule law freedom power       ","elections rights accountability responsiveness rule law freedom power"
"267","R_1l3qJ0VvoLqQZU6","peace america war hitler constitution        ","peace america war hitler constitution"
"268","R_12ff6vE5CY6dZfA","freedom choice government options multi-party american       ","freedom choice governmenternment options multi-party american"
"269","R_3G1i5x4ZytvXcz0","fairness equality choice vote selection numbers many majority election liberty     ","fairness equality choice vote selection numbers many majority election liberty"
"270","R_2dAPR1tbbt1jSrI","fairness america voting government choices freedom ballots politics leader      ","fairness america voting governmenternment choices freedom ballots politics leader"
"271","R_1DLOnA8deoeeREK","politics voting people corruption america democrats republicans presidents senate house representatives fair every vote counts republic western world   ","politics voting peoplee corruption america democrats republicans presidents senate house representatives fair every vote counts republic western world"
"272","R_1MXuzvUjs9PGr5T","fairness equality people freedom respect discussion sharing voting      ","fairness equality peoplee freedom respect discussion sharing voting"
"273","R_Ahuzxw3yVGayhyN","freedom liberty choice informed politics government        ","freedom liberty choice informed politics governmenternment"
"274","R_3r1zsIocXgpmyAo","voting fairness everyone  voice controlled  people freedom balance       ","voting fairness everyone voice controlled peoplee freedom balance"
"275","R_3mdWkXt7NhdWGCG","well intentioned good theroy problematic practice often corrupt greek normally true democracy inaccuratly named       ","well intention good theory problematic practice often corrupt greek normally true democracy inaccurately named"
"276","R_2PdHe5aSM4I32VQ","government fairness popular vote people's government corrupted        ","governmenternment fairness popular vote peoplee's governmenternment corrupted"
"277","R_QgpA7fDjyjZgksV","goverment law country democrat republician elections politicians representatives       ","governmenterment law country democrat republican elections politicians representatives"
"278","R_PMSCYLDTVJ7NhAZ","voting popular will majority rules athens political parties representative government responsible government one man one vote equal rights      ","voting popular will majority rules athens political parties representative governmenternment responsible governmenternment one man one vote equal rights"
"279","R_1C7awJjKjq9BPqy","freedom liberty equality opportunity progression        ","freedom liberty equality opportunity progression"
"280","R_2V4rJN6UnLhjB3W","freedom representation economy voting government congress washington d.c. elections revolution 1776     ","freedom representation economy voting governmenternment congress washington d.c. elections revolution 1776"
"281","R_2Bh5BU1xE5N4D3B","freedom voting representatives voice government greeks started usa taxation without representation american revolution elected government speaking      ","freedom voting representatives voice governmenternment greeks started usa taxation without representation american revolution elected governmenternment speaking"
"282","R_3QW4VMFzfwnMKz2","particiapatory elections citizens voting money influence power       ","participatory elections citizens voting money influence power"
"283","R_2Sceg1KFu5VnBjv","free people laws everything literally majority rules  true democracy decisions will  people election voice freedom unorganized      ","free peoplee laws everything literally majority rules true democracy decisions will peoplee election voice freedom unorganized"
"284","R_Rw5wv1EsmokHI0F","participatory best alternative partisanship voting inefficiency        ","participatory best alternative partisanship voting inefficiency"
"285","R_3ExQiUmpeNnJ3Iy","elections voting fairness rights politics equality laws representatives people united states constitution     ","elections voting fairness rights politics equality laws representatives peoplee united states constitution"
"286","R_2PkclpJ3dphIx2b","fair equal right thing justice best good great prosperous chance right way chance everyone.     ","fair equal right thing justice best good great prosperous chance right way chance everyone."
"287","R_3kEPKiGjzrF63vq"," usa freedom choice politics open elections        ","usa freedom choice politics open elections"
"288","R_2Eiz82efPI8Ukx9","freedom independence choices ethics reasonable        ","freedom independencee choices ethics reasonable"
"289","R_2VQlPZcv9dsOxRS","freedom america choice power helpful decision normal equal vote      ","freedom america choice power helpful decision normal equal vote"
"290","R_3MJC8MVCX2FoI4p","everyone treated equally freedom speech peace right  fair trial protected law ability pursue dreams  little restrictions free come go  please civilized value human life way  civil rights hope comfortable society    ","everyone treated equally freedom speech peace right fair trial protected law ability pursue dreams little restrictions free come go please civilized value human life way civil rights hope comfortable society"
"291","R_2P52eL4S795EKSG","freedom fairness usa peace family        ","freedom fairness usa peace family"
"292","R_26bFECDVPQ0mBs8","freedom declaration independenc government constitution states bill rights people equality politics      ","freedom declaration independence governmenternment constitution states bill rights peoplee equality politics"
"293","R_2zUP1QZrMV0VbAh","voting demonstrating free speech fact checking debate will  people opinions       ","voting demonstrating free speech fact checking debate will peoplee opinions"
"294","R_8cYPxGpgoNRwcsJ","freedom america fair equality representation government liberal       ","freedom america fair equality representation governmenternment liberal"
"295","R_2pLGpTSLNSyYgAQ","freedom rights love america flag president patriotic       ","freedom rights love america flag president patriotic"
"296","R_1JF5Q7vM2An9W95","opportunity  voices  heard. acceptance diversity. tolerance religious freedom unity welcoming immigrants potential fairness justice      ","opportunity voices heard. acceptance diversity. tolerance religious freedom unity welcoming immigrants potential fairness justice"
"297","R_2ANFIZh2TIxtiBW","voice freedom america voting representative constituion declaration indepedence republic congress citizens     ","voice freedom america voting representative constitution declaration independencee republic congress citizens"
"298","R_1hzHtUWBrnnfDnM","freedom choice united fair liberty equality just       ","freedom choice united fair liberty equality just"
"299","R_bK2y5wlj4RN18xX","freedom choice voting representation politics washington president parties american group like minded people     ","freedom choice voting representation politics washington president parties american group like minded peoplee"
"300","R_tPxFJdtWMiWyYJr","elections freedom parties will  people campaigning political commercials citizens united frownie corruption bought cost campaigning freedom form parties fought constitution election judges   ","elections freedom parties will peoplee campaigning political commercials citizens united frownie corruption bought cost campaigning freedom form parties fought constitution election judges"
"301","R_UstuGCvq2JfVrwd","voting equal politics decided people fair        ","voting equal politics decided peoplee fair"
"302","R_25z30QuDusxbxvS","freedom choice lies happiness trick true democracy exist.       ","freedom choice lies happiness trick true democracy exist."
"303","R_SHR7NGmy3t3WbiV","voice freedom liberty founding fathers voting choice progress majority equality point view     ","voice freedom liberty founding fathers voting choice progress majority equality point view"
"304","R_O2Wps9bQTImAg25","people leader fairness opinions equality politics president       ","peoplee leader fairness opinions equality politics president"
"305","R_a4SHhEPDTsSr2kp","freedom mob rule everyone gets say confusion  representative republic america,  really        ","freedom mob rule everyone gets say confusion representative republic america, really"
"306","R_22VKIzP8JSjG4JL","usa freedom checks balances elections 1776 washington dc federal       ","usa freedom checks balances elections 1776 washington dc federal"
"307","R_87zihZmMVpvzMat","fair equal voting left government  people 1st world       ","fair equal voting left governmenternment peoplee 1st world"
"308","R_3FLmIkiTtkYarYi","freedom rights free market elections voting united states europe corruption      ","freedom rights free market elections voting united states europe corruption"
"309","R_31F3NkXY3ME5QKd","freedom capitalism free speech red white blue fireworks 4th july       ","freedom capitalism free speech red white blue fireworks 4th july"
"310","R_3PTRTVPaTYFpo97","choice  people elected officials voting politics freedom speech civil liberties       ","choice peoplee elected officials voting politics freedom speech civil liberties"
"311","R_2wuXRK6plmcOP50","will people representative elections campaign ads voting equality       ","will peoplee representative elections campaign ads voting equality"
"312","R_1OGOjZMk6berC52","working together freedom  say  debating compromise looking         ","working together freedom say debating compromise looking"
"313","R_1C8D6PzfH7R3uzZ","equality fairness unity system rules support       ","equality fairness unity system rules support"
"314","R_2CpGrmPycEIJih9","freedom america choice government control order social equality demanding ideal power     ","freedom america choice governmenternment control order social equality demanding ideal power"
"315","R_3J4B1r2ihHDyoIb","freedom election america president official states governed  peopl  people legitimate fair optimal     ","freedom election america president official states governmenterned people peoplee legitimate fair optimal"
"316","R_3PGJHIUXLmOm2Oe","freedom voting choice equaliy democrats hope elections       ","freedom voting choice equality democrats hope elections"
"317","R_BL1NCbWyF38nYDT","improving income stop lying work help people        ","improving income stop lying work help peoplee"
"318","R_1eDEUkoKPo799DE","voting elections  people,  people,  people ideas civil rights constitutional freedoms  u.s. used  equality      ","voting elections peoplee, peoplee, peoplee ideas civil rights constitutional freedoms u.s. used equality"
"319","R_3L5bK9vsCtlA1uR","equality freedom fairness voting representation people        ","equality freedom fairness voting representation peoplee"
"320","R_1GTfeaujIsKTx56","fair uncorrupted union equal everyone        ","fair uncorrupted union equal everyone"
"321","R_1gIowfUQPVaQA9L","freedom choice fairness elected independence votes elections majority live let live equality best opposite dictatorship.    ","freedom choice fairness elected independencee votes elections majority live let live equality best opposite dictatorship."
"322","R_1eqOx9YCDdGfJqI","government people equality fairness voting politics country run  people.       ","governmenternment peoplee equality fairness voting politics country run peoplee."
"323","R_1isMygtVeNebrF5","voting choice new form government weak indecisive blue       ","voting choice new form governmenternment weak indecisive blue"
"324","R_31QUoV2WpU0tStd","fair people system democrait goverment        ","fair peoplee system democratic governmenterment"
"325","R_2s4hACbK45G8k5d","freedom  people vote fairness equality elected offcials       ","freedom peoplee vote fairness equality elected officials"
"326","R_1oisnrfOWoU16uo","vote freedom election united states choice majority senators representatives government politics constitution     ","vote freedom election united states choice majority senators representatives governmenternment politics constitution"
"327","R_5bPXE7aKiaByc2l","people choice government taxes free congress senate       ","peoplee choice governmenternment taxes free congress senate"
"328","R_3hryJF03G6DokuG","freedom political participation representation elected leaders united states america separation church state president barack obama political parties democrats republicans elections votes political campaigning political advertising   ","freedom political participation representation elected leaders united states america separation church state president barack obama political parties democrats republicans elections votes political campaigning political advertising"
"329","R_2idHh2r7lyRTGXT","transparency freedom liberty rights action voting choices equal moral constitution     ","transparency freedom liberty rights action voting choices equal moral constitution"
"330","R_2WuwIuupWhrLJb6","vote peoples will personal freedom election term limit        ","vote peoplees will personal freedom election term limit"
"331","R_3Eg12GQRkh2x2UP","equality justice freedom speech elective representation social equality voting       ","equality justice freedom speech elective representation social equality voting"
"332","R_DV8KvIx1apqEIud","voting united states government congress republicans democrats legistature senate freedom rights     ","voting united states governmenternment congress republicans democrats legislature senate freedom rights"
"333","R_eLoKB5cMyLXKPU5","freedom justice equality voice  people common good voting       ","freedom justice equality voice peoplee common good voting"
"334","R_RJGgVtePhptojGp"," people equality open forum representation politics        ","peoplee equality open forum representation politics"
"335","R_1EikgzIG4E1cz1I","free constitution laws regulations senate congress       ","free constitution laws regulations senate congress"
"336","R_3HpgkJD8OPHpJiq","voting president fair unfair republic partisanship bias chaos ineffective      ","voting president fair unfair republic partisanship bias chaos ineffective"
"337","R_2q4vrymKk45AFCC","freedom special lucky money hard-working        ","freedom special lucky money hard-working"
"338","R_W2mer8p0rLRf1ex","freedom choice america politics founding fathers religious freedom political freedom freedom speech freedom religion free  makes happy     ","freedom choice america politics founding fathers religious freedom political freedom freedom speech freedom religion free makes happy"
"339","R_3gXhWy8wZQ9IPQN","freedom voting rights america people congress       ","freedom voting rights america peoplee congress"
"340","R_1rB3wqtW0iRlXQS","campaign ballot constitution government president state voting election      ","campaign ballot constitution governmenternment president state voting election"
"341","R_2tDWXA8T86VGz1C","freedom rights choice free will  people voting  people       ","freedom rights choice free will peoplee voting peoplee"
"342","R_3syu32pFdCz3Vp7","united states democrat republican constitution declaration independence thomas paine freedom       ","united states democrat republican constitution declaration independencee thomas paine freedom"
"343","R_3KqHKqpYwhGOuG1","freedom values ability vote founding fathers leaving england united states  elect officals       ","freedom values ability vote founding fathers leaving england united states elect officials"
"344","R_6led5FPgqjvFgdj","freedom rule people peace good just        ","freedom rule peoplee peace good just"
"345","R_3gZ2GKkWry5Sp3C","america politics government capitalism republic        ","america politics governmenternment capitalism republic"
"346","R_2q7TXVOu6PR52YN","fairness election merit free just lie liberal open fine greedy capitalist hypocritical leanient civilized modern lacking incomplete better superior underhanded","fairness election merit free just lie liberal open fine greedy capitalist hypocritical lenient civilized modern lacking incomplete better superior underhanded"
"347","R_XwgKGJji0rTy78R","fairness america freedom  people positive        ","fairness america freedom peoplee positive"
"348","R_2TntzYsj156xl97","freedom  people united states obama  rich people  lower class        ","freedom peoplee united states obama rich peoplee lower class"
"349","R_1QisFT0qYTaUSd3","freedom blue donkey barack obama inclusive voting       ","freedom blue donkey barack obama inclusive voting"
"350","R_1on9CHEJtq2REg4","fairness voting capitalism america first-world countries election rights people's choice modern      ","fairness voting capitalism america first-world countries election rights peoplee's choice modern"
"351","R_2XjOhEGGQAHN6cv","vote elect representative rights freedom term people constitution      ","vote elect representative rights freedom term peoplee constitution"
"352","R_3FOid2Q0zAqk2bM","freedom history foundation founding fathers ideal freedom speech       ","freedom history foundation founding fathers ideal freedom speech"
"353","R_1rBo3P8S5DFGSac","people vote republic government  people  people fairness equality      ","peoplee vote republic governmenternment peoplee peoplee fairness equality"
"354","R_1cV8yDhswiQAOcT","voting  people representation america freedom equality       ","voting peoplee representation america freedom equality"
"355","R_2dFl3LiGmrl8uzV","form government voting western corruption equality fair       ","form governmenternment voting western corruption equality fair"
"356","R_22EQuvq2RldJ3Oa","people vote president vice president opinion electoral college joke really  vote even count? good  ? freedom challenges    ","peoplee vote president vice president opinion electoral college joke really vote even count? good ? freedom challenges"
"357","R_2pRxHMN32VvjJ9w","justice equality freedom america unreal captial capitalism slavery      ","justice equality freedom america unreal capital capitalism slavery"
"358","R_30hRAiQdMQoK6up","freedom republic democracy america rule  people officials        ","freedom republic democracy america rule peoplee officials"
"359","R_2pSPXtiOsof2mi1","voting deliberation options right united states representation change       ","voting deliberation options right united states representation change"
"360","R_VW2jPR54jIhfWet","freedom choices fairness equal jobs money homes food wealth      ","freedom choices fairness equal jobs money homes food wealth"
"361","R_27IR1YThnI6rJD6","people vote say influence america government       ","peoplee vote say influence america governmenternment"
"362","R_p3EFQJrqII2nKeZ","representation america voting freedom enlightenment athens       ","representation america voting freedom enlightenment athens"
"363","R_vuJCzjnj7Km5vcB","politics voting representation issues governance federalism        ","politics voting representation issues governmenternance federalism"
"364","R_1Ov5cb8luSs4CTm","freedom choice vote leadership liberty independence options fair      ","freedom choice vote leadership liberty independencee options fair"
"365","R_XnOyYQomfyIGnsJ","freedom united states vote power people elections        ","freedom united states vote power peoplee elections"
"366","R_1jiFlsOL2zWX5nR","voting equality respect tolerance understanding peace openness fairness      ","voting equality respect tolerance understanding peace openness fairness"
"367","R_278Lx9f2emjpRnf","idealistic unfair ridculous meaningless bias        ","idealistic unfair ridiculous meaningless bias"
"368","R_RfcFmJW8Ukagxl7","fair vote citizen rights freedom election congress people       ","fair vote citizen rights freedom election congress peoplee"
"369","R_3fkslS6OlmkrFPP","voting government usa ruling majority        ","voting governmenternment usa ruling majority"
"370","R_1QyWpmo5n62aALO","government america democrat republican working corporations people electoral college popular vote      ","governmenternment america democrat republican working corporations peoplee electoral college popular vote"
"371","R_2ARJiMTBHC7kVyS","mindless voters fraud deceit rich corporations oil lies       ","mindless voters fraud deceit rich corporations oil lies"
"372","R_eKcbf9HRBYO26J7","fair equal freedom majority ownership self-relience expression       ","fair equal freedom majority ownership self-reliance expression"
"373","R_25g7B89hvSBsYi5","voting representation majority rule minority rights greece  democratic country's name, less democratic  practice       ","voting representation majority rule minority rights greece democratic country's name, less democratic practice"
"374","R_01duAF9MfviObrr","freedom stability choice free market united states western money capitalism law      ","freedom stability choice free market united states western money capitalism law"
"375","R_1Fe40MoUfqmKNW1","free elections freedom good theory ideal elected representatives freedom protest freedom  press united states      ","free elections freedom good theory ideal elected representatives freedom protest freedom press united states"
"376","R_2WM4lUwdbp4RYp8","vote fair majority politics government system       ","vote fair majority politics governmenternment system"
"377","R_ulUoNRLG8XmX18B","freedom people group choices equality opposing sides compromise collaboration voices       ","freedom peoplee group choices equality opposing sides compromise collaboration voices"
"378","R_2wmZGmIokynK18Y","freedom choice representation participation vote        ","freedom choice representation participation vote"
"379","R_1F3NP4quJ6Tvuyz","lies corrupt true nations war politions middle man interest groups uneducated church state     ","lies corrupt true nations war politicians middle man interest groups uneducated church state"
"380","R_XXSX4W9E4222aWZ","liberty voting popular mob representative republic america rome republican democrat     ","liberty voting popular mob representative republic america rome republican democrat"
"381","R_1DZnVoIKRcIPKLn","united states america freedom liberty statue liberty ellis island land opportunity communism presidency declaration independence george washington revolutionary war voting    ","united states america freedom liberty statue liberty ellis island land opportunity communism presidency declaration independencee george washington revolutionary war voting"
"382","R_12x1QXgsfmy7mRR","government elected representatives elections vote majority rules equality free maket freedom political parties citizen representation     ","governmenternment elected representatives elections vote majority rules equality free market freedom political parties citizen representation"
"383","R_325CzOsQhKKBV4L","freedom speech freedom  press fairness freedom bear arm president censorship calmer society       ","freedom speech freedom press fairness freedom bear arm president censorship calmer society"
"384","R_2gHNABbvfhXdqil","law justice equality government politics        ","law justice equality governmenternment politics"
"385","R_2OZo7Uq7f9HMeL6","freedom democrats republicans usa war bureaucracy  west 1st world capitalism      ","freedom democrats republicans usa war bureaucracy west 1st world capitalism"
"386","R_126iult5BVfrIZt","america together direct democracy government federation old founding fathers washington d.c.      ","america together direct democracy governmenternment federation old founding fathers washington d.c."
"387","R_ULq2ggl8o1pyVJn","choice groups concensus compromise everyone  voice. politics government debate elected officials      ","choice groups concensus compromise everyone voice. politics governmenternment debate elected officials"
"388","R_qxDoKkUAfT1QS0p","voting free speech equal rights freedom compromise due process elected president balance constitution      ","voting free speech equal rights freedom compromise due process elected president balance constitution"
"389","R_9Socnyaf42U9Yo9","social progression less conservative evolving fair fresh economical environmental honest generous      ","social progression less conservative evolving fair fresh economical environmental honest generous"
"390","R_1CqpztgNrCOA24S","government people political party rights vote       ","governmenternment peoplee political party rights vote"
"391","R_3p5604yURsFTgJW","liberty government voting freedom human rights constitution independence congress president      ","liberty governmenternment voting freedom human rights constitution independencee congress president"
"392","R_3lY0uibiBDHz8tk","false lies manipulation freedom choice lack choice farce       ","false lies manipulation freedom choice lack choice farce"
"393","R_3gXEcnF2GZQvfAD","freedom speech work write act        ","freedom speech work write act"
"394","R_3iQiJN1YDuN4aMn","united states politics republican congress president debate complicated arguments       ","united states politics republican congress president debate complicated arguments"
"395","R_ahGLi3c0ys3rcjv","consensus majority rule independence freedom participation decision-making disagreement liberty self-determination election     ","consensus majority rule independencee freedom participation decision-making disagreement liberty self-determination election"
"396","R_2v5QZ25Vho0KTlW","history people freedom voting fairness america egal washington      ","history peoplee freedom voting fairness america egal washington"
"397","R_31zr9Fv3v2jx4jT","freedom united states liberal voting transparent fair equal  united states  rights justice     ","freedom united states liberal voting transparent fair equal united states rights justice"
"398","R_8weeYaj0EvqvgSB","freedom people  power voting free will stability community government  people       ","freedom peoplee power voting free will stability community governmenternment peoplee"
"399","R_Tpl1fUaT6MnJgZP","freedom fairness equality government ruling rules power       ","freedom fairness equality governmenternment ruling rules power"
"400","R_1rvIEtWX8oUjzZ4","justice fairness equality voting approval majority appointed left-wing president america     ","justice fairness equality voting approval majority appointed left-wing president america"
"401","R_1Hc9ohTGFj6F7xo","politics freedom usa flag patriotic president vote people voters voting ballot elections representatives politicians   ","politics freedom usa flag patriotic president vote peoplee voters voting ballot elections representatives politicians"
"402","R_3KGz6Jnx23CIOeA","majority wins democratic false freedom politics nations        ","majority wins democratic false freedom politics nations"
"403","R_O8BdDqxhRxoePUR","free understanding helpful contribute trendy independent       ","free understanding helpful contribute trendy independent"
"404","R_1gnpDiarZXR08Bh","equal vote direct vote  united staes unwieldy every decision noble rare ideal philosophy difficult capitalism,  dollar  huge vote goal     ","equal vote direct vote united states unwieldy every decision noble rare ideal philosophy difficult capitalism, dollar huge vote goal"
"405","R_3sjHDEnBr6Mhm7M","voice  people liberty election president voters        ","voice peoplee liberty election president voters"
"406","R_3nJd76nI48O7oOV","voting fairness justice america western world choice freedom liberty      ","voting fairness justice america western world choice freedom liberty"
"407","R_27p1xm2fkGpKQbT","votes representation conservative liberal order understanding compromise popularity money lesser two evils hope  best favors tension conflict drama walking eggshells #thanksobama publicity talking points goverment","votes representation conservative liberal order understanding compromise popularity money lesser two evils hope best favors tension conflict drama walking eggshells #thanksobama publicity talking points governmenterment"
"408","R_3irJ9eWsd1yNvVw","2 wolves  sheep deciding  dinner majority rules republic free expression voting freedom representatives president 3 branches government      ","2 wolves sheep deciding dinner majority rules republic free expression voting freedom representatives president 3 branches governmenternment"
"409","R_1o7LzSyOCBHyR5s","representation faction universal suffrage participation debate equality opportunity secular      ","representation faction universal suffrage participation debate equality opportunity secular"
"410","R_3sAKhOaI1dovvvR","people freedom representatives united states senate house mob rule       ","peoplee freedom representatives united states senate house mob rule"
"411","R_2rC4fRWxvYVzDgz","greece free press voting rights non exclusion citizens elected officials big money vs. big public voices western governments      ","greece free press voting rights non exclusion citizens elected officials big money versus. big public voices western governmenternments"
"412","R_3iLk1OWqnnSRuI6","equal balance open listening everyone        ","equal balance open listening everyone"
"413","R_2DSrVz320f8YwBK","america freedom rights constitution governments representation election rule  majority athens separation power president parliment    ","america freedom rights constitution governmenternments representation election rule majority athens separation power president parliament"
"414","R_10rvB9KdVhqli8N","freedom government laws political rights  people        ","freedom governmenternment laws political rights peoplee"
"415","R_2VKgcX5pMp5DOIN","rules civil rights government people elect leaders political social vote      ","rules civil rights governmenternment peoplee elect leaders political social vote"
"416","R_1FIC8NyopYOudUY","fair freedom representation laws rule law open tolerant equality orderly happy humanity humaine justice    ","fair freedom representation laws rule law open tolerant equality orderly happy humanity humane justice"
"417","R_3lFc0iLmHsPQq3v","freedom voting politics choices  people        ","freedom voting politics choices peoplee"
"418","R_3stWmv3D9DN7pfy","everyone  say usa equal everyone voice capitalism politics       ","everyone say usa equal everyone voice capitalism politics"
"419","R_3mlXNQsG5xYeh6r","liberal right soft accepting diverse immigrants culture       ","liberal right soft accepting diverse immigrants culture"
"420","R_qPEwKCDH1KJf4Ax","united states america freedom justice liberty fair/equal voting       ","united states america freedom justice liberty fair/equal voting"
"421","R_1lyrfNVeL6cgomB","freedom choice liberty ownership rights dreams ambition wealth      ","freedom choice liberty ownership rights dreams ambition wealth"
"422","R_DSPhYprwnOZFKLv","correct smarter logical middle class change progressive moving forward young      ","correct smagnar logical middle class change progressive moving forward young"
"423","R_3oXZHgepVqmej0Y","election debate one vote peaceful governed consent        ","election debate one vote peaceful governmenterned consent"
"424","R_3hhGG7Hf2GR9xMl","free elected officials power vested people fairness freeedom social equality liberal government justice       ","free elected officials power vested peoplee fairness freedom social equality liberal governmenternment justice"
"425","R_28zYlJ9FGtaWmQX","freedom freedom speech freedom choice freedom religion able choose leadership able elect representatives able effectively change laws important issues citizens protected  constitution government largely  intervene  affairs  citizen government listens  citizens     ","freedom freedom speech freedom choice freedom religion able choose leadership able elect representatives able effectively change laws important issues citizens protected constitution governmenternment largely intervene affairs citizen governmenternment listens citizens"
"426","R_barmVJjqYHOdk2t","freedom hope rights chance choice heard served unity equality      ","freedom hope rights chance choice heard served unity equality"
"427","R_URVoNlcjJqSuDE5","equal rights privileges everyone united states  people  people free system social equality       ","equal rights privileges everyone united states peoplee peoplee free system social equality"
"428","R_1E1d4Wp1vPsU1s2","freedom people good smart peaceful        ","freedom peoplee good smart peaceful"
"429","R_1gHga7ihjvaz7Cj","governing  people freedom dictatorship laws governed people governance voting freedom tyranny freedom selection law right vote private  vilified  vote      ","governmenterning peoplee freedom dictatorship laws governmenterned peoplee governmenternance voting freedom tyranny freedom selection law right vote private vilified vote"
"430","R_3FRRj9GSXBqAlDe","usa freedom constitution voting government founding fathers balance powers       ","usa freedom constitution voting governmenternment founding fathers balance powers"
"431","R_1M0NwcTIwZysDDO","freedom liberty  voice heard voting free expression        ","freedom liberty voice heard voting free expression"
"432","R_cCmwfnjZfxRIxYV","democrats republic choosing old idealistic confused hope change freedom voice together faded power progressiveness new   ","democrats republic choosing old idealistic confused hope change freedom voice together faded power progressive new"
"433","R_79Zzoph5R9dfBQN","america freedom voting opportunity election president independence rights      ","america freedom voting opportunity election president independencee rights"
